domain,google_indexed,archive_api_url
ectimes.com,1,http://web.archive.org/cdx/search/cdx?url=ectimes.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
undu.com,1,http://web.archive.org/cdx/search/cdx?url=undu.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
webhostingcolumns.com,1,http://web.archive.org/cdx/search/cdx?url=webhostingcolumns.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
newempire.com,1,http://web.archive.org/cdx/search/cdx?url=newempire.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
creditseason.com,1,http://web.archive.org/cdx/search/cdx?url=creditseason.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
jyh.com,1,http://web.archive.org/cdx/search/cdx?url=jyh.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
vidly.com,1,http://web.archive.org/cdx/search/cdx?url=vidly.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
just4u.com,1,http://web.archive.org/cdx/search/cdx?url=just4u.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
bellamyjc.net,1,http://web.archive.org/cdx/search/cdx?url=bellamyjc.netoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
reitnet.com,1,http://web.archive.org/cdx/search/cdx?url=reitnet.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
1worldspace.com,0,http://web.archive.org/cdx/search/cdx?url=1worldspace.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
linuxidx.com,1,http://web.archive.org/cdx/search/cdx?url=linuxidx.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
wearefla.com,1,http://web.archive.org/cdx/search/cdx?url=wearefla.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
bateel.com,1,http://web.archive.org/cdx/search/cdx?url=bateel.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
jewelry-jewellery.com,1,http://web.archive.org/cdx/search/cdx?url=jewelry-jewellery.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
raimasoftware.com,1,http://web.archive.org/cdx/search/cdx?url=raimasoftware.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
250x.com,1,http://web.archive.org/cdx/search/cdx?url=250x.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
bettercatch.com,1,http://web.archive.org/cdx/search/cdx?url=bettercatch.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
webovision.com,1,http://web.archive.org/cdx/search/cdx?url=webovision.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
tvbnow.com,1,http://web.archive.org/cdx/search/cdx?url=tvbnow.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
anni.com,1,http://web.archive.org/cdx/search/cdx?url=anni.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
liwil.net,1,http://web.archive.org/cdx/search/cdx?url=liwil.netoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
articlesmaker.com,1,http://web.archive.org/cdx/search/cdx?url=articlesmaker.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
pipstars.com,1,http://web.archive.org/cdx/search/cdx?url=pipstars.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
hounddog.com,1,http://web.archive.org/cdx/search/cdx?url=hounddog.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
jobsindubai.com,1,http://web.archive.org/cdx/search/cdx?url=jobsindubai.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
gsm.com,1,http://web.archive.org/cdx/search/cdx?url=gsm.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
idigitals.com,1,http://web.archive.org/cdx/search/cdx?url=idigitals.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
loop88.com,1,http://web.archive.org/cdx/search/cdx?url=loop88.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
detochka.info,1,http://web.archive.org/cdx/search/cdx?url=detochka.infooutput=json&limit=1&fastLatest=true&filter=!statuscode:200
dekolte.info,1,http://web.archive.org/cdx/search/cdx?url=dekolte.infooutput=json&limit=1&fastLatest=true&filter=!statuscode:200
barbos.info,1,http://web.archive.org/cdx/search/cdx?url=barbos.infooutput=json&limit=1&fastLatest=true&filter=!statuscode:200
porshe.info,1,http://web.archive.org/cdx/search/cdx?url=porshe.infooutput=json&limit=1&fastLatest=true&filter=!statuscode:200
fruji.com,1,http://web.archive.org/cdx/search/cdx?url=fruji.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
pharmacynyc.com,1,http://web.archive.org/cdx/search/cdx?url=pharmacynyc.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
renaissance-faire.com,1,http://web.archive.org/cdx/search/cdx?url=renaissance-faire.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
escortnerede.com,1,http://web.archive.org/cdx/search/cdx?url=escortnerede.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
master-down.com,1,http://web.archive.org/cdx/search/cdx?url=master-down.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
deaauctions.com,1,http://web.archive.org/cdx/search/cdx?url=deaauctions.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
oukse.com,1,http://web.archive.org/cdx/search/cdx?url=oukse.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
chunyao1.com,0,http://web.archive.org/cdx/search/cdx?url=chunyao1.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
usauk-classifieds.com,1,http://web.archive.org/cdx/search/cdx?url=usauk-classifieds.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
europe-today.com,1,http://web.archive.org/cdx/search/cdx?url=europe-today.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
greatfaceandbody.com,1,http://web.archive.org/cdx/search/cdx?url=greatfaceandbody.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
mikeauldridge.com,0,http://web.archive.org/cdx/search/cdx?url=mikeauldridge.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
2020vision.org,1,http://web.archive.org/cdx/search/cdx?url=2020vision.orgoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
objectfx.com,1,http://web.archive.org/cdx/search/cdx?url=objectfx.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
greenbottle.com,1,http://web.archive.org/cdx/search/cdx?url=greenbottle.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
linkireland.com,1,http://web.archive.org/cdx/search/cdx?url=linkireland.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
thelordoftherings.com,1,http://web.archive.org/cdx/search/cdx?url=thelordoftherings.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
rentmyvacationhome.com,1,http://web.archive.org/cdx/search/cdx?url=rentmyvacationhome.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
minhanhvoyage.com,1,http://web.archive.org/cdx/search/cdx?url=minhanhvoyage.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
